|10       hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  24.5| 5.31| 6.86| 15.6| 2.45| 62.5     |
|emilib1::HashMap|  24.4| 4.91| 6.96| 7.98| 3.20| 62.5     |
|emilib3::HashMap|  8.33| 4.91| 5.38| 9.92| 2.49| 62.5     |
|absl::f_hash_map|  21.7| 3.93| 5.10| 11.5| 5.93| 66.7     |
|jg::den_hash_map|  31.6| 6.74| 9.62| 11.3| 2.83| 62.5     |
|rigtorp::HashMap|  9.39| 7.63| 14.6| 15.4| 7.65| 62.5     |
|emhash8::HashMap|  26.6| 7.02| 9.79| 11.9| 2.83| 62.5     |
|emhash7::HashMap|  26.2| 6.91| 9.86| 8.84| 2.44| 62.5     |
|emhash6::HashMap|  27.0| 6.49| 9.18| 9.73| 2.47| 62.5     |
|emhash5::HashMap|  26.7| 6.58| 10.1| 6.87| 7.53| 62.5     |


|200      hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  10.9| 3.53| 7.11| 8.85| 1.26| 78.1     |
|emilib1::HashMap|  11.9| 3.26| 8.16| 4.52| 1.50| 78.1     |
|emilib3::HashMap|  10.0| 3.56| 7.22| 4.67| 1.29| 78.1     |
|absl::f_hash_map|  10.9| 2.82| 6.66| 10.5| 2.22| 78.4     |
|jg::den_hash_map|  12.7| 6.24| 8.84| 8.43| 1.27| 78.1     |
|rigtorp::HashMap|  9.49| 7.66| 16.3| 20.6| 2.96| 78.1     |
|emhash8::HashMap|  18.9| 5.41| 7.29| 10.6| 1.25| 78.1     |
|emhash7::HashMap|  16.1| 5.44| 7.79| 7.50| 1.30| 78.1     |
|emhash6::HashMap|  16.6| 5.31| 7.97| 5.80| 1.29| 78.1     |
|emhash5::HashMap|  20.4| 5.38| 8.18| 5.32| 2.93| 78.1     |


|3000     hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  9.67| 3.23| 5.56| 8.03| 1.19| 73.2     |
|emilib1::HashMap|  12.0| 2.98| 6.31| 2.76| 1.48| 73.2     |
|emilib3::HashMap|  10.6| 3.36| 5.85| 3.65| 1.20| 73.2     |
|absl::f_hash_map|  10.4| 2.65| 5.38| 8.61| 2.27| 73.3     |
|jg::den_hash_map|  19.0| 6.48| 9.62| 8.54| 1.21| 73.2     |
|rigtorp::HashMap|  8.89| 7.33| 15.1| 18.9| 3.30| 73.2     |
|emhash8::HashMap|  18.4| 5.22| 7.17| 10.6| 1.20| 73.2     |
|emhash7::HashMap|  15.6| 5.23| 8.25| 7.53| 1.23| 73.2     |
|emhash6::HashMap|  15.9| 5.23| 8.15| 5.91| 1.23| 73.2     |
|emhash5::HashMap|  19.5| 5.41| 8.66| 5.33| 3.28| 73.2     |


|40000    hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  14.2| 5.12| 4.02| 10.3| 1.30| 61.0     |
|emilib1::HashMap|  14.8| 5.07| 4.20| 4.46| 1.72| 61.0     |
|emilib3::HashMap|  14.6| 5.57| 3.97| 5.45| 1.30| 61.0     |
|absl::f_hash_map|  17.4| 4.72| 3.97| 7.79| 3.12| 61.0     |
|jg::den_hash_map|  24.5| 8.39| 11.1| 11.3| 1.23| 61.0     |
|rigtorp::HashMap|  11.5| 7.70| 17.8| 18.5| 4.75| 61.0     |
|emhash8::HashMap|  26.3| 6.01| 8.59| 12.4| 1.20| 61.0     |
|emhash7::HashMap|  22.5| 6.23| 9.28| 8.50| 1.23| 61.0     |
|emhash6::HashMap|  22.2| 5.73| 8.72| 7.29| 1.22| 61.0     |
|emhash5::HashMap|  26.2| 5.85| 10.1| 6.04| 4.69| 61.0     |


|500000   hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  23.7| 15.5| 6.47| 22.2| 2.19| 47.7     |
|emilib1::HashMap|  24.9| 15.6| 6.34| 17.1| 2.58| 47.7     |
|emilib3::HashMap|  24.3| 15.1| 6.19| 19.0| 2.06| 47.7     |
|absl::f_hash_map|  28.5| 13.6| 6.17| 23.4| 4.41| 47.7     |
|jg::den_hash_map|  47.0| 15.9| 19.4| 37.6| 1.82| 47.7     |
|rigtorp::HashMap|  37.2| 13.2| 24.4| 31.4| 7.15| 47.7     |
|emhash8::HashMap|  43.9| 9.52| 10.8| 19.7| 1.49| 47.7     |
|emhash7::HashMap|  33.4| 13.4| 12.9| 20.5| 1.79| 47.7     |
|emhash6::HashMap|  31.0| 12.3| 14.6| 36.1| 1.84| 47.7     |
|emhash5::HashMap|  37.9| 12.3| 16.1| 14.5| 6.98| 47.7     |


|7200000  hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  57.3| 28.5| 26.0| 92.0| 1.55| 85.8     |
|emilib1::HashMap|  56.0| 28.7| 28.7| 105.| 1.58| 85.8     |
|emilib3::HashMap|  54.1| 31.1| 27.3| 97.6| 1.53| 85.8     |
|absl::f_hash_map|  51.4| 25.3| 23.1| 68.3| 1.89| 85.8     |
|jg::den_hash_map|  88.0| 30.9| 40.8| 110.| 2.36| 85.8     |
|rigtorp::HashMap|  56.6| 37.7| 119.| 83.9| 2.41| 85.8     |
|emhash8::HashMap|  92.9| 21.5| 21.8| 67.1| 1.48| 85.8     |
|emhash7::HashMap|  49.2| 22.7| 23.9| 47.9| 1.66| 85.8     |
|emhash6::HashMap|  57.8| 20.3| 23.6| 94.2| 1.61| 85.8     |
|emhash5::HashMap|  62.0| 20.3| 24.2| 40.0| 2.44| 85.8     |


|10000000 hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  83.7| 31.2| 18.5| 101.| 1.86| 59.6     |
|emilib1::HashMap|  81.8| 31.0| 19.0| 140.| 2.33| 59.6     |
|emilib3::HashMap|  84.8| 31.2| 18.9| 138.| 1.85| 59.6     |
|absl::f_hash_map|  86.0| 28.8| 18.1| 137.| 3.55| 59.6     |
|jg::den_hash_map|  97.9| 27.0| 34.9| 110.| 1.77| 59.6     |
|rigtorp::HashMap|  49.0| 25.7| 67.7| 65.9| 5.43| 59.6     |
|emhash8::HashMap|  101.| 21.1| 22.2| 78.0| 1.51| 59.6     |
|emhash7::HashMap|  52.6| 21.8| 21.9| 44.1| 1.88| 59.6     |
|emhash6::HashMap|  62.8| 21.7| 24.8| 127.| 1.76| 59.6     |
|emhash5::HashMap|  66.2| 21.3| 25.3| 36.3| 5.36| 59.6     |


|50000000 hashmap|Insert|Fhit |Fmiss|Erase|Iter |LoadFactor|
|----------------|------|-----|-----|-----|-----|----------|
|emilib2::HashMap|  157.| 46.8| 28.8| 181.| 1.70| 74.5     |
|emilib1::HashMap|  148.| 46.9| 30.7| 204.| 1.98| 74.5     |
|emilib3::HashMap|  136.| 45.3| 28.7| 205.| 1.72| 74.5     |
|absl::f_hash_map|  142.| 38.4| 26.2| 176.| 2.56| 74.5     |
|jg::den_hash_map|  133.| 42.5| 59.8| 160.| 1.85| 74.5     |
|rigtorp::HashMap|  68.4| 47.8| 138.| 100.| 3.55| 74.5     |
